"Prodotto","Sorgente","Destinazione","Errore"
"Arance Tarocco","C:\Users\info\Desktop\frutta\immagini\ortitaly\arance-tarocco-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\arance-tarocco.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Arance Navel","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\arance-navel.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mele Golden","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-golden-melinda-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mele-golden.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mele Fuji","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-golden-melinda-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mele-fuji.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mele Annurca","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-golden-melinda-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mele-annurca.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pere Abate","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pere-abate.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pere Williams","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pere-williams.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Banane","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\banane.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fragole","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fragole.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Limoni di Amalfi","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\limoni-di-amalfi.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Limoni Verdelli","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\limoni-verdelli.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Kiwi","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\kiwi.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Clementine","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\clementine.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mandarini","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mandarini.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
